Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,collector_type_source,When was the last time you searched for answers to your questions online?,Which of the following tools did you use to find answers to your questions? Select the one you used first if you used multiple.,,Gender,Age,Major US Region,Device,Household Income
,,,,,,,,,,Response,Response,Other (please specify),,,,,
118682919118,457665022,09/02/2024 02:44:30 PM,09/02/2024 02:44:47 PM,,,,,5a0e17a374a15a72007d3d8e10,smc,Last hour,ChatGPT,,male,45_to_60,middle_atlantic,android_mobile,175000_to_199999
118682918552,457665022,09/02/2024 02:42:33 PM,09/02/2024 02:43:02 PM,,,,,32f999bc50f36b3a958ae0bb01,smc,Yesterday,Google,,female,45_to_60,mountain,ios_mobile,10000_to_24999
118682918058,457665022,09/02/2024 02:38:45 PM,09/02/2024 02:41:44 PM,,,,,c3439343438fab260ef9af795b,smc,,ChatGPT,,male,30_to_44,middle_atlantic,android_mobile,175000_to_199999
118682917563,457665022,09/02/2024 02:38:44 PM,09/02/2024 02:40:26 PM,,,,,ecffcb31d5063376c66cd512a3,smc,Today,Bing,,male,30_to_44,middle_atlantic,android_mobile,200000_and_up
118682917492,457665022,09/02/2024 02:38:13 PM,09/02/2024 02:40:16 PM,,,,,a1cc69e0d7e74293415d2c1a50,smc,Today,Google,,male,30_to_44,middle_atlantic,android_mobile,200000_and_up
118682917151,457665022,09/02/2024 02:38:41 PM,09/02/2024 02:39:54 PM,,,,,44fdb9c90784b000c8a9735d3c,smc,Last week,Google,,male,18_to_29,middle_atlantic,android_mobile,100000_to_124999
118682917341,457665022,09/02/2024 02:38:19 PM,09/02/2024 02:39:52 PM,,,,,871a90c9f962e861c2df0dc890,smc,Last hour,ChatGPT,,male,30_to_44,middle_atlantic,android_mobile,200000_and_up
118682917204,457665022,09/02/2024 02:38:42 PM,09/02/2024 02:39:31 PM,,,,,845dd1a032a011bc5312609bfe,smc,Last hour,Other (please specify),We yea and I have,male,18_to_29,middle_atlantic,ios_mobile,25000_to_49999
118682917127,457665022,09/02/2024 02:38:10 PM,09/02/2024 02:39:18 PM,,,,,a55230faeb9ce4d37462761c14,smc,Today,Google,,female,30_to_44,south_atlantic,ios_mobile,50000_to_74999
118682916997,457665022,09/02/2024 02:38:39 PM,09/02/2024 02:38:57 PM,,,,,7588164d42625472a9eabe3bcc,smc,Last hour,Bing,,female,30_to_44,west_south_central,android_mobile,125000_to_149999
118682916989,457665022,09/02/2024 02:38:30 PM,09/02/2024 02:38:55 PM,,,,,53604da754326d39698f636b05,smc,Last hour,ChatGPT,,male,30_to_44,middle_atlantic,android_mobile,100000_to_124999
118682916974,457665022,09/02/2024 02:38:31 PM,09/02/2024 02:38:53 PM,,,,,ef218f454283c4539edb2f1d41,smc,Last week,Google,,female,30_to_44,pacific,android_mobile,125000_to_149999
118682916948,457665022,09/02/2024 02:38:39 PM,09/02/2024 02:38:50 PM,,,,,baeee560ca84bec1dd68be203d,smc,Today,Google,,female,30_to_44,west_north_central,ios_mobile,50000_to_74999
118682916936,457665022,09/02/2024 02:38:34 PM,09/02/2024 02:38:48 PM,,,,,b51757051ed12eee4f4226fdb3,smc,Today,Google,,male,30_to_44,west_south_central,android_mobile,100000_to_124999
118682916931,457665022,09/02/2024 02:38:25 PM,09/02/2024 02:38:48 PM,,,,,63e8c8f349c4b9eb946f9d7029,smc,Last hour,Google,,female,30_to_44,south_atlantic,android_mobile,150000_to_174999
118682916917,457665022,09/02/2024 02:38:31 PM,09/02/2024 02:38:46 PM,,,,,79f4c3c202e12034371a202ee7,smc,Today,Google,,female,30_to_44,middle_atlantic,android_mobile,100000_to_124999
118682916906,457665022,09/02/2024 02:38:00 PM,09/02/2024 02:38:43 PM,,,,,016c24878963c82ed440426579,smc,Today,ChatGPT,,male,30_to_44,pacific,android_mobile,200000_and_up
118682916879,457665022,09/02/2024 02:38:28 PM,09/02/2024 02:38:37 PM,,,,,d98d358d3d1a0d8426a68c4790,smc,Today,Google,,male,18_to_29,west_south_central,ios_mobile,0_to_9999
118682916876,457665022,09/02/2024 02:38:15 PM,09/02/2024 02:38:36 PM,,,,,f9958cde8729bf80da08112975,smc,Today,Google,,male,30_to_44,new_england,ios_mobile,75000_to_99999
118682916865,457665022,09/02/2024 02:38:04 PM,09/02/2024 02:38:33 PM,,,,,251d8aafa251d72196b4db9612,smc,Today,Yahoo,,female,30_to_44,pacific,ios_mobile,200000_and_up
118682916790,457665022,09/02/2024 02:38:04 PM,09/02/2024 02:38:19 PM,,,,,a646c8ce16e8d4b8e4ced5228f,smc,Today,Google,,female,30_to_44,middle_atlantic,ios_mobile,50000_to_74999
118682916787,457665022,09/02/2024 02:38:04 PM,09/02/2024 02:38:19 PM,,,,,efc5b744b06e45251a74bd39ce,smc,Yesterday,Google,,male,30_to_44,pacific,android_mobile,25000_to_49999
118682916764,457665022,09/02/2024 02:38:04 PM,09/02/2024 02:38:14 PM,,,,,082706992b6c8df08576a6641e,smc,Last hour,Google,,male,30_to_44,pacific,ios_mobile,50000_to_74999
118682916654,457665022,09/02/2024 02:37:41 PM,09/02/2024 02:37:56 PM,,,,,f5c638753e601100e802e49043,smc,Last hour,Yahoo,,female,30_to_44,east_north_central,ios_mobile,no_answer
118682914413,457665022,09/02/2024 02:31:03 PM,09/02/2024 02:31:29 PM,,,,,a9cadc874cbf3d6a7526aa29e8,smc,Last hour,Google,,female,30_to_44,south_atlantic,android_mobile,25000_to_49999
118682914412,457665022,09/02/2024 02:31:15 PM,09/02/2024 02:31:29 PM,,,,,3fe5d801ba310f71de7a93c9e2,smc,This week,Google,,female,30_to_44,west_north_central,ios_mobile,125000_to_149999
118682913377,457665022,09/02/2024 02:28:11 PM,09/02/2024 02:28:37 PM,,,,,4213a6f6179be9ab0f8edb455f,smc,Today,ChatGPT,,male,30_to_44,south_atlantic,ios_mobile,0_to_9999
118682913228,457665022,09/02/2024 02:27:59 PM,09/02/2024 02:28:14 PM,,,,,aa0404ce057a80322afc5c3698,smc,Last hour,Google,,male,30_to_44,east_south_central,android_mobile,100000_to_124999
118682913122,457665022,09/02/2024 02:27:45 PM,09/02/2024 02:27:58 PM,,,,,8d5b1751b73baed2bd0b5f5aba,smc,Yesterday,ChatGPT,,male,30_to_44,middle_atlantic,android_mobile,200000_and_up
118682912612,457665022,09/02/2024 02:26:17 PM,09/02/2024 02:26:40 PM,,,,,6dd4a929915587da3fecb194e8,smc,Today,Google,,female,30_to_44,west_north_central,ios_mobile,100000_to_124999
118682910279,457665022,09/02/2024 02:20:25 PM,09/02/2024 02:20:39 PM,,,,,9e9f4a3d29480be3f4e9442fba,smc,Today,Google,,female,30_to_44,east_north_central,android_mobile,10000_to_24999
118682909486,457665022,09/02/2024 02:18:03 PM,09/02/2024 02:18:38 PM,,,,,ffff361ef0ee1715f0d68f45b2,smc,Today,Google,,male,18_to_29,pacific,android_mobile,10000_to_24999
118682909191,457665022,09/02/2024 02:17:18 PM,09/02/2024 02:17:51 PM,,,,,a0073b2de01794a2141fcdfe57,smc,Today,Google,,female,60_above,mountain,pc_windows,no_answer
118682907758,457665022,09/02/2024 02:14:14 PM,09/02/2024 02:14:30 PM,,,,,2400f8b386229b8b972051a558,smc,Today,DuckDuckGo,,male,30_to_44,mountain,ios_mobile,25000_to_49999
118682907501,457665022,09/02/2024 02:12:48 PM,09/02/2024 02:13:56 PM,,,,,5ec5175131e366551df33762fc,smc,Today,Google,,female,30_to_44,south_atlantic,android_mobile,75000_to_99999
118682906590,457665022,09/02/2024 02:11:10 PM,09/02/2024 02:11:29 PM,,,,,4eb76a919fc9b8ca548608515d,smc,Today,Google,,male,45_to_60,middle_atlantic,android_mobile,150000_to_174999
118682906463,457665022,09/02/2024 02:10:43 PM,09/02/2024 02:11:07 PM,,,,,38de575992398df0a2e029ca21,smc,This week,Google,,male,30_to_44,west_south_central,android_mobile,125000_to_149999
118682904974,457665022,09/02/2024 02:06:56 PM,09/02/2024 02:07:15 PM,,,,,65d8c0e437b1befdb7cd0ba218,smc,Yesterday,Google,,female,30_to_44,west_north_central,android_mobile,100000_to_124999
118682903483,457665022,09/02/2024 02:02:59 PM,09/02/2024 02:03:23 PM,,,,,7116d9c5f374d3267e31ae8476,smc,Today,Google,,male,30_to_44,east_north_central,ios_mobile,25000_to_49999
118682902032,457665022,09/02/2024 01:59:12 PM,09/02/2024 01:59:37 PM,,,,,71c27f57c13786f907a9c406a5,smc,Today,Google,,male,18_to_29,mountain,android_mobile,50000_to_74999
118682901848,457665022,09/02/2024 01:58:42 PM,09/02/2024 01:59:07 PM,,,,,9d2141e790632f0c1a5dce43d8,smc,This month,Perplexity,,male,30_to_44,west_north_central,ios_mobile,125000_to_149999
118682900122,457665022,09/02/2024 01:54:26 PM,09/02/2024 01:54:41 PM,,,,,6188b043de46940a2d5232479f,smc,Yesterday,ChatGPT,,female,18_to_29,pacific,ios_mobile,50000_to_74999
118682899896,457665022,09/02/2024 01:53:50 PM,09/02/2024 01:54:05 PM,,,,,1de5937fc06c0eff2d94195d1b,smc,Last hour,Google,,male,30_to_44,mountain,ios_mobile,50000_to_74999
118682899519,457665022,09/02/2024 01:52:51 PM,09/02/2024 01:53:08 PM,,,,,c7bc7059186258ddf751f8dd7a,smc,Last hour,Google,,female,30_to_44,south_atlantic,ios_mobile,25000_to_49999
118682899389,457665022,09/02/2024 01:52:36 PM,09/02/2024 01:52:48 PM,,,,,64149c42fc772fbd4b1ca55536,smc,Last hour,Google,,male,30_to_44,middle_atlantic,android_mobile,25000_to_49999
118682898742,457665022,09/02/2024 01:50:35 PM,09/02/2024 01:51:09 PM,,,,,b293140bc2a739b87e939b468f,smc,Today,Google,,male,18_to_29,east_north_central,ios_mobile,50000_to_74999
118682897968,457665022,09/02/2024 01:48:55 PM,09/02/2024 01:49:10 PM,,,,,2de6396c8083545a7abade4a4a,smc,Today,Google,,male,30_to_44,east_south_central,android_mobile,10000_to_24999
118682897359,457665022,09/02/2024 01:47:18 PM,09/02/2024 01:47:38 PM,,,,,04ee2ac20493b03b67148aab73,smc,Today,Google,,female,18_to_29,west_south_central,ios_mobile,10000_to_24999
118682896659,457665022,09/02/2024 01:45:28 PM,09/02/2024 01:45:50 PM,,,,,4eedbffb22bda123a346789738,smc,Last hour,Google,,female,18_to_29,east_south_central,ios_mobile,10000_to_24999
118682896522,457665022,09/02/2024 01:45:15 PM,09/02/2024 01:45:29 PM,,,,,add101696b458110ea163c0e85,smc,Today,Google,,male,30_to_44,middle_atlantic,android_mobile,150000_to_174999
118682896366,457665022,09/02/2024 01:44:48 PM,09/02/2024 01:45:07 PM,,,,,86aa106fa59b4f2ef8978bcf5c,smc,This week,Google,,female,18_to_29,west_south_central,ios_mobile,25000_to_49999
118682896138,457665022,09/02/2024 01:44:16 PM,09/02/2024 01:44:28 PM,,,,,0c18d6e8f461dfc0320177936f,smc,Last hour,Google,,male,30_to_44,east_north_central,android_mobile,50000_to_74999
118682895444,457665022,09/02/2024 01:41:43 PM,09/02/2024 01:42:29 PM,,,,,5c49307fcb500b1b5cfb4254e5,smc,Today,Google,,male,18_to_29,new_england,ios_mobile,25000_to_49999
118682894605,457665022,09/02/2024 01:39:54 PM,09/02/2024 01:40:15 PM,,,,,2c2aec405a223ca2e2d3c5f4aa,smc,Today,Google,,male,30_to_44,south_atlantic,android_mobile,50000_to_74999
118682894458,457665022,09/02/2024 01:39:24 PM,09/02/2024 01:39:49 PM,,,,,184660251ceb516ee15624fb69,smc,This week,Google,,female,45_to_60,middle_atlantic,ios_mobile,no_answer
118682894292,457665022,09/02/2024 01:39:12 PM,09/02/2024 01:39:26 PM,,,,,41957441d6e939f2a43062bca9,smc,Today,Google,,female,18_to_29,west_north_central,ios_mobile,50000_to_74999
118682893708,457665022,09/02/2024 01:37:45 PM,09/02/2024 01:37:56 PM,,,,,129811cae75e2d0d2b4f87848d,smc,Last hour,Other,,female,30_to_44,east_north_central,ios_mobile,10000_to_24999
118682893266,457665022,09/02/2024 01:36:34 PM,09/02/2024 01:36:49 PM,,,,,5e4af1a7b629cb4d8a150248f4,smc,Last hour,Google,,male,30_to_44,east_north_central,ios_mobile,10000_to_24999
118682892825,457665022,09/02/2024 01:35:21 PM,09/02/2024 01:35:38 PM,,,,,650621e2eba9a90789e1f6ac5b,smc,Last hour,Google,,female,60_above,west_south_central,ios_mobile,100000_to_124999
118682892402,457665022,09/02/2024 01:34:21 PM,09/02/2024 01:34:31 PM,,,,,e79709ca546bba01a688c8aa68,smc,Last hour,DuckDuckGo,,female,18_to_29,east_south_central,ios_mobile,10000_to_24999
118682892039,457665022,09/02/2024 01:33:24 PM,09/02/2024 01:33:38 PM,,,,,3061bcc0da2524c7b1caeed690,smc,Today,Google,,female,18_to_29,west_south_central,ios_mobile,0_to_9999
118682891702,457665022,09/02/2024 01:32:20 PM,09/02/2024 01:32:41 PM,,,,,ba144e17f3f76575aca61aeb08,smc,Last hour,Google,,female,30_to_44,east_north_central,android_mobile,25000_to_49999
118682891588,457665022,09/02/2024 01:32:02 PM,09/02/2024 01:32:20 PM,,,,,4f65e7eb5235698f6c22e277cb,smc,Last hour,Google,,female,45_to_60,west_south_central,ios_mobile,0_to_9999
118682891420,457665022,09/02/2024 01:31:39 PM,09/02/2024 01:31:56 PM,,,,,7eb066d564151fe225dba9d4eb,smc,Today,Google,,male,45_to_60,south_atlantic,ios_mobile,200000_and_up
118682891204,457665022,09/02/2024 01:30:38 PM,09/02/2024 01:31:25 PM,,,,,dad1ada4882b55ae80bc73a430,smc,Today,Google,,female,30_to_44,east_north_central,android_mobile,75000_to_99999
118682891049,457665022,09/02/2024 01:30:48 PM,09/02/2024 01:31:01 PM,,,,,e124035c2d6fc1ef4ecc352a6b,smc,Today,Google,,male,18_to_29,west_south_central,ios_mobile,100000_to_124999
118682886093,457665022,09/02/2024 01:18:13 PM,09/02/2024 01:18:33 PM,,,,,d16cbffd1e44d5778ec6f1e04f,smc,Today,Google,,male,30_to_44,pacific,android_mobile,75000_to_99999
118682884305,457665022,09/02/2024 01:13:33 PM,09/02/2024 01:13:53 PM,,,,,4c9103b6daa61b4cfcd6a1892b,smc,Today,Bing,,male,18_to_29,pacific,android_mobile,100000_to_124999
118682884192,457665022,09/02/2024 01:13:16 PM,09/02/2024 01:13:36 PM,,,,,02c0ad07ce2fe50fa290f1d469,smc,Yesterday,Google,,female,30_to_44,pacific,ios_mobile,150000_to_174999
118682882406,457665022,09/02/2024 01:08:54 PM,09/02/2024 01:09:14 PM,,,,,bd6df6b3927bbf90c5a08b717e,smc,Today,Google,,female,18_to_29,west_north_central,ios_mobile,25000_to_49999
118682877775,457665022,09/02/2024 12:57:56 PM,09/02/2024 12:58:11 PM,,,,,0608712b613026557b592418ca,smc,This week,Google,,female,30_to_44,east_north_central,ios_mobile,75000_to_99999
118682877250,457665022,09/02/2024 12:56:44 PM,09/02/2024 12:57:00 PM,,,,,47a3bd6a40f3fe9919288524f9,smc,Last hour,Google,,female,30_to_44,,ios_mobile,50000_to_74999
118682873197,457665022,09/02/2024 12:46:58 PM,09/02/2024 12:47:10 PM,,,,,c92354b1e05da7845077aab15f,smc,Yesterday,Google,,female,18_to_29,middle_atlantic,ios_mobile,100000_to_124999
118682873075,457665022,09/02/2024 12:46:24 PM,09/02/2024 12:46:57 PM,,,,,b90fc63a76c0d6135b900adbd0,smc,This week,Google,,female,30_to_44,new_england,ios_mobile,10000_to_24999
118682872358,457665022,09/02/2024 12:45:01 PM,09/02/2024 12:45:14 PM,,,,,42a1f1936bcc38f1fecbf840ab,smc,Yesterday,Yahoo,,male,18_to_29,south_atlantic,ios_mobile,200000_and_up
118682871598,457665022,09/02/2024 12:43:07 PM,09/02/2024 12:43:19 PM,,,,,07f91f1ae5a6fa43e09589886f,smc,Today,Google,,male,18_to_29,new_england,android_mobile,50000_to_74999
118682864654,457665022,09/02/2024 12:27:26 PM,09/02/2024 12:27:39 PM,,,,,995eb5058b267f8cd7293ce476,smc,Yesterday,Google,,female,45_to_60,south_atlantic,android_mobile,50000_to_74999
118682864150,457665022,09/02/2024 12:26:23 PM,09/02/2024 12:26:34 PM,,,,,1396ed58b38d2f33a8141a1df0,smc,Last hour,Google,,female,30_to_44,mountain,android_mobile,75000_to_99999
118682861302,457665022,09/02/2024 11:32:51 AM,09/02/2024 12:20:08 PM,,,,,d3c04dfff814bf2dc31f6b1ecd,smc,This week,Google,,female,30_to_44,south_atlantic,ios_mobile,25000_to_49999
118682859768,457665022,09/02/2024 12:16:14 PM,09/02/2024 12:16:50 PM,,,,,9caccceccc933ecf90c51a5c2f,smc,Never,Google,,male,60_above,east_north_central,ios_mobile,10000_to_24999
118682857531,457665022,09/02/2024 12:11:42 PM,09/02/2024 12:11:54 PM,,,,,0672814af9e56ccb54bca67cdf,smc,Today,Google,,female,30_to_44,south_atlantic,android_mobile,50000_to_74999
118682851179,457665022,09/02/2024 11:57:58 AM,09/02/2024 11:58:19 AM,,,,,fb01eca101daf4864725184d1e,smc,Today,Google,,female,60_above,south_atlantic,ios_mobile,25000_to_49999
118682848609,457665022,09/02/2024 11:52:36 AM,09/02/2024 11:52:55 AM,,,,,d45f2d0076161e41fa5bbec689,smc,Today,Google,,male,45_to_60,east_north_central,android_mobile,50000_to_74999
118682847821,457665022,09/02/2024 11:51:01 AM,09/02/2024 11:51:16 AM,,,,,09bd6315fb63fa8574d5a98aff,smc,Today,Bing,,female,30_to_44,middle_atlantic,ios_mobile,50000_to_74999
118682845078,457665022,09/02/2024 11:45:39 AM,09/02/2024 11:45:52 AM,,,,,aa7af3402797876f868c3bfb5c,smc,Today,Google,,female,18_to_29,pacific,ios_mobile,no_answer
118682843781,457665022,09/02/2024 11:42:59 AM,09/02/2024 11:43:14 AM,,,,,a466132897a6c3f2a63cad7699,smc,Yesterday,Google,,female,30_to_44,pacific,android_mobile,100000_to_124999
118682843084,457665022,09/02/2024 11:41:34 AM,09/02/2024 11:41:54 AM,,,,,c7d802cf135fdb7ccf1e176600,smc,Last hour,Google,,male,30_to_44,west_north_central,ios_mobile,75000_to_99999
