Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,collector_type_source,When was the last time you searched for answers to your questions online?,Which of the following tools did you use to find answers to your questions? Select the one you used first if you used multiple.,,Gender,Age,Major US Region,Device,Household Income
,,,,,,,,,,Response,Response,Other (please specify),,,,,
118681650106,457656552,08/30/2024 06:59:43 PM,08/30/2024 07:00:11 PM,,,,,6e66143644b972c89d218da0a3,smc,This month,Google,,male,45_to_60,middle_atlantic,android_mobile,150000_to_174999
118681650064,457656552,08/30/2024 06:59:43 PM,08/30/2024 07:00:02 PM,,,,,d53323fb0ff3ff9326e9d0504c,smc,Last hour,Google,,male,45_to_60,middle_atlantic,android_mobile,100000_to_124999
118681650037,457656552,08/30/2024 06:59:38 PM,08/30/2024 06:59:56 PM,,,,,61276c081521092937833829cd,smc,This month,Google,,male,45_to_60,middle_atlantic,android_mobile,150000_to_174999
118681650019,457656552,08/30/2024 06:59:16 PM,08/30/2024 06:59:53 PM,,,,,689ff9d3e3404307c7f262f495,smc,This month,Google,,male,60_above,middle_atlantic,android_mobile,150000_to_174999
118681650011,457656552,08/30/2024 06:58:56 PM,08/30/2024 06:59:50 PM,,,,,abed51b848b9174e720b5c68cf,smc,Today,Claude,,male,45_to_60,pacific,android_mobile,125000_to_149999
118681649963,457656552,08/30/2024 06:59:21 PM,08/30/2024 06:59:39 PM,,,,,9eb2edb1f10e387ae0a77cbfad,smc,This month,Google,,male,45_to_60,middle_atlantic,android_mobile,150000_to_174999
118681649930,457656552,08/30/2024 06:59:07 PM,08/30/2024 06:59:31 PM,,,,,08a28a3f5cd30dc883ecb56b24,smc,Last hour,Google,,male,60_above,south_atlantic,android_mobile,125000_to_149999
118681649920,457656552,08/30/2024 06:58:22 PM,08/30/2024 06:59:29 PM,,,,,14c50569ec1a8c4131de4681d5,smc,Today,Google,,male,45_to_60,middle_atlantic,android_mobile,125000_to_149999
118681649909,457656552,08/30/2024 06:58:30 PM,08/30/2024 06:59:25 PM,,,,,7d27e65519c0bc29bc73ce10e8,smc,Today,Google,,male,45_to_60,middle_atlantic,android_mobile,125000_to_149999
118681649805,457656552,08/30/2024 06:58:42 PM,08/30/2024 06:58:59 PM,,,,,cec58132e1a481fa5ba4a6b029,smc,This week,Google,,male,45_to_60,middle_atlantic,android_mobile,100000_to_124999
118681649776,457656552,08/30/2024 06:58:38 PM,08/30/2024 06:58:52 PM,,,,,53911cd970307df7dc7c22352a,smc,Last hour,Google,,male,45_to_60,south_atlantic,ios_mobile,150000_to_174999
118681649676,457656552,08/30/2024 06:58:11 PM,08/30/2024 06:58:31 PM,,,,,b11ef17a6bbf51a0f5f2abcf6b,smc,Today,ChatGPT,,male,45_to_60,pacific,android_mobile,125000_to_149999
118681649573,457656552,08/30/2024 06:57:57 PM,08/30/2024 06:58:07 PM,,,,,0fef74e67ad6e4cd9290595154,smc,Last hour,Bing,,male,45_to_60,middle_atlantic,android_mobile,150000_to_174999
118681649442,457656552,08/30/2024 06:57:28 PM,08/30/2024 06:57:41 PM,,,,,2130382efbeec26b1d7f370146,smc,Last hour,ChatGPT,,male,45_to_60,middle_atlantic,android_mobile,150000_to_174999
118681649199,457656552,08/30/2024 06:56:18 PM,08/30/2024 06:56:46 PM,,,,,31c602ba90685da29d08947b5f,smc,Today,ChatGPT,,male,45_to_60,middle_atlantic,android_mobile,150000_to_174999
118681647010,457656552,08/30/2024 06:48:52 PM,08/30/2024 06:49:16 PM,,,,,6b6f5b165c922f3bf6c38be7b4,smc,Today,Google,,male,30_to_44,south_atlantic,android_mobile,150000_to_174999
118681646979,457656552,08/30/2024 06:48:51 PM,08/30/2024 06:49:09 PM,,,,,c11000e7eac2c5a91b6c45cfb9,smc,Today,Google,,male,30_to_44,middle_atlantic,android_mobile,125000_to_149999
118681646947,457656552,08/30/2024 06:48:49 PM,08/30/2024 06:49:03 PM,,,,,724247b8e217761f603e37b226,smc,Today,Google,,male,30_to_44,east_north_central,android_mobile,75000_to_99999
118681646933,457656552,08/30/2024 06:48:45 PM,08/30/2024 06:48:58 PM,,,,,850ce96e6f8d0262b3b0f26777,smc,Today,Google,,male,30_to_44,east_north_central,ios_mobile,75000_to_99999
118681646874,457656552,08/30/2024 06:48:32 PM,08/30/2024 06:48:48 PM,,,,,75a4c7f3902f9408457b8b58d2,smc,Today,Google,,male,30_to_44,new_england,ios_mobile,75000_to_99999
118681646872,457656552,08/30/2024 06:48:28 PM,08/30/2024 06:48:48 PM,,,,,23a917d01bcec542bb198af501,smc,Today,Google,,male,30_to_44,pacific,android_mobile,200000_and_up
118681646854,457656552,08/30/2024 06:48:32 PM,08/30/2024 06:48:43 PM,,,,,7203cb817e07f0609034c9300c,smc,This week,Google,,male,30_to_44,south_atlantic,android_mobile,150000_to_174999
118681646809,457656552,08/30/2024 06:48:13 PM,08/30/2024 06:48:36 PM,,,,,44e627342dbe91e61513074197,smc,Last hour,ChatGPT,,male,30_to_44,pacific,android_mobile,125000_to_149999
118681646806,457656552,08/30/2024 06:48:10 PM,08/30/2024 06:48:36 PM,,,,,e57a6454bb2bfcc1fc07f78a25,smc,Today,Google,,male,30_to_44,pacific,android_mobile,50000_to_74999
118681646685,457656552,08/30/2024 06:47:35 PM,08/30/2024 06:48:10 PM,,,,,7cccb2a8bc4f1e2750cb9cd6f2,smc,Yesterday,Perplexity,,male,30_to_44,,android_mobile,150000_to_174999
118681646635,457656552,08/30/2024 06:47:40 PM,08/30/2024 06:48:02 PM,,,,,94b680873c163c6590e49b9498,smc,Yesterday,Google,,male,30_to_44,,ios_mobile,0_to_9999
118681646391,457656552,08/30/2024 06:46:46 PM,08/30/2024 06:47:11 PM,,,,,ac2ebbdc04bf1e7bebd4549976,smc,Yesterday,Google,,male,30_to_44,pacific,ios_mobile,100000_to_124999
118681643359,457656552,08/30/2024 06:35:09 PM,08/30/2024 06:35:49 PM,,,,,e879c16b122ddee998abb771c6,smc,Yesterday,Perplexity,,male,45_to_60,middle_atlantic,android_mobile,150000_to_174999
118681643324,457656552,08/30/2024 06:35:20 PM,08/30/2024 06:35:41 PM,,,,,8cb61a317e0c87f1bcb08f7dd8,smc,Last hour,Google,,male,60_above,middle_atlantic,android_mobile,175000_to_199999
118681643258,457656552,08/30/2024 06:35:14 PM,08/30/2024 06:35:29 PM,,,,,50cbb0dcd35b4da74d7093b539,smc,Today,ChatGPT,,male,45_to_60,pacific,ios_mobile,25000_to_49999
118681643245,457656552,08/30/2024 06:35:14 PM,08/30/2024 06:35:24 PM,,,,,2c7c9749ad0393c52c44de3489,smc,Last hour,Claude,,male,45_to_60,middle_atlantic,android_mobile,150000_to_174999
118681642648,457656552,08/30/2024 06:31:50 PM,08/30/2024 06:33:27 PM,,,,,568478598d563e2079e960b6e5,smc,Last hour,ChatGPT,,male,45_to_60,south_atlantic,android_mobile,125000_to_149999
118681642074,457656552,08/30/2024 06:31:04 PM,08/30/2024 06:31:20 PM,,,,,3fb1e0c79cf420ecf48ab766ec,smc,Today,Google,,male,30_to_44,west_south_central,ios_mobile,50000_to_74999
118681639891,457656552,08/30/2024 06:23:27 PM,08/30/2024 06:23:44 PM,,,,,7b2924268e98e43e5ad339b333,smc,Yesterday,Perplexity,,male,45_to_60,middle_atlantic,android_mobile,150000_to_174999
118681639288,457656552,08/30/2024 06:21:26 PM,08/30/2024 06:21:36 PM,,,,,ee4cd98782e3b9381dcb478922,smc,Today,ChatGPT,,male,18_to_29,south_atlantic,ios_mobile,75000_to_99999
118681639111,457656552,08/30/2024 06:20:17 PM,08/30/2024 06:20:57 PM,,,,,e29636c268609691def3022b6b,smc,Today,Google,,male,30_to_44,pacific,android_mobile,125000_to_149999
118681637201,457656552,08/30/2024 06:13:54 PM,08/30/2024 06:14:16 PM,,,,,299ed40067d14df9a9b7e794f3,smc,Yesterday,DuckDuckGo,,male,30_to_44,middle_atlantic,android_mobile,200000_and_up
118681635161,457656552,08/30/2024 06:07:11 PM,08/30/2024 06:07:32 PM,,,,,0f6db43036bae6efb78f7d1b4a,smc,Last hour,Google,,female,45_to_60,new_england,android_mobile,no_answer
118681634978,457656552,08/30/2024 06:06:37 PM,08/30/2024 06:07:00 PM,,,,,d3e936e17bd556f502fb43655c,smc,Last hour,Other (please specify),Safari,female,45_to_60,mountain,ios_mobile,50000_to_74999
118681634842,457656552,08/30/2024 06:06:16 PM,08/30/2024 06:06:32 PM,,,,,f2adcae7accbec625fbe2fd49c,smc,Yesterday,Google,,female,45_to_60,new_england,android_mobile,10000_to_24999
118681634691,457656552,08/30/2024 06:05:33 PM,08/30/2024 06:06:03 PM,,,,,99d8305cf1ae742c043179396c,smc,Yesterday,ChatGPT,,female,45_to_60,middle_atlantic,android_mobile,150000_to_174999
118681634626,457656552,08/30/2024 06:05:29 PM,08/30/2024 06:05:49 PM,,,,,2119d3eefcb447a0e49fe6829d,smc,This week,Claude,,male,45_to_60,pacific,android_mobile,125000_to_149999
118681634584,457656552,08/30/2024 06:05:23 PM,08/30/2024 06:05:40 PM,,,,,43fdb2c297c0e4d2e685294323,smc,Today,Google,,female,45_to_60,pacific,android_mobile,25000_to_49999
118681634568,457656552,08/30/2024 06:05:14 PM,08/30/2024 06:05:36 PM,,,,,bb55858740c6d9b380ae68c486,smc,Today,Google,,male,45_to_60,middle_atlantic,android_mobile,150000_to_174999
118681634505,457656552,08/30/2024 06:04:37 PM,08/30/2024 06:05:23 PM,,,,,1e3767e143267e761168a79d84,smc,Today,Google,,female,45_to_60,south_atlantic,android_mobile,25000_to_49999
118681634368,457656552,08/30/2024 06:04:11 PM,08/30/2024 06:04:59 PM,,,,,4198155b2aabd5ab0a227c719c,smc,Last hour,Google,,female,45_to_60,pacific,ios_mobile,no_answer
